year,semester,Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
2015,fall,Art,ART,30A,SHIBATA J M,13,7,1,,1,,,,,3,,25
2015,fall,Art,ART,30C,OTA N T,16,4,1,,1,,,,1,3,,26
2015,fall,Art,ART,31,LOPEZ L G,9,1,,2,,,,,,4,,16
2015,fall,Art,ART,31,DAVIS R L,17,2,,,,,,,,3,,22
2015,fall,Art,ART,31,TRUJILLO M E,16,5,1,,3,,,,,1,,26
2015,fall,Art,ART,31,LOPEZ L G,2,1,2,4,,,2,,,5,,16
2015,fall,Art,ART,32,DAVIS R L,8,1,,,,,,,,,,9
2015,fall,Art,ART,32,LOPEZ L G,8,1,,1,,,,2,,2,,14
2015,fall,Art,ART,33,TRUJILLO M E,10,5,,,1,,,,,5,,21
2015,fall,Art,ART,34A,LOPEZ L G,12,3,4,4,,,,,,5,,28
2015,fall,Art,ART,34A,KAGAN SHARON,9,2,,,1,,,1,,15,,28
2015,fall,Art,ART,34B,LOPEZ L G,8,,,5,,,,,,3,,16
2015,fall,Art,ART,40A,HARTMAN D G,19,,1,,,,,,,2,,22
2015,fall,Art,ART,40A,HARTMAN D G,16,1,1,,1,,,,,1,,20
2015,fall,Art,ART,40A,BROMBERG T L,13,3,1,,,,,,,,,17
2015,fall,Art,ART,40B,HARTMAN D G,7,2,1,,,,,,,2,,12
2015,fall,Art,ART,40B,BROMBERG T L,3,,,,,,,,,,,3
2015,fall,Art,ART,40C,HARTMAN D G,8,,,1,,,,,,,,9
2015,fall,Art,ART,41A,SIMON D L,9,2,,,1,,,,2,8,,22
2015,fall,Art,ART,43A,BROMBERG T L,9,7,1,,,,,,,6,,23
2015,fall,Art,ART,43B,BROMBERG T L,3,,,,,,,,,,,3
2015,fall,Art,ART,52A,PHILLIPS F,15,6,3,,,,,,,1,,25
2015,fall,Art,ART,52A,PHILLIPS F,12,6,3,2,,,,,,1,,24
2015,fall,Art,ART,52A,PHILLIPS F,15,4,2,1,,,,,1,,,23
2015,fall,Art,ART,52B,PHILLIPS F,14,5,1,,,,,,,1,,21
2015,fall,Art,ART,52C,PHILLIPS F,6,2,,,,,,,,,,8
2015,fall,Art,ART,60,THOMASON M M,16,3,2,,1,,,1,,,,23
2015,fall,Art,ART,60B,WINSRYG M W,7,1,1,,1,,,,2,2,,14
2015,fall,Art,ART,90A,DAVIS R L,5,,,,,,,,,,,5
2015,fall,Art,ARTS,88A,DAVIS R L,5,,,,,,,,,,,5
2015,fall,Art,ARTS,88B,DAVIS R L,1,,,,,,,,,,,1
2015,fall,Art,DESIGN ,87O,HATTON C,14,2,,,1,,,,,1,,18
2015,fall,Athletics,VAR PE,9V,JENKINS J M,20,,2,,,,,,,3,,25
2015,fall,Athletics,VAR PE,9W,STRONG L M,16,,,,,,,,,2,,18
2015,fall,Athletics,VAR PE, 14V,BARRON E A,14,,,,,,,,,,,14
2015,fall,Athletics,VAR PE, 14W,BARRON E A,6,,,,,,,,,2,,8
2015,fall,Athletics,VAR PE ,21V,LINDHEIM G M,87,12,4,,2,,,,,19,,124
2015,fall,Athletics,VAR PE, 43V,PIERCE T L,21,,,,,,,,,2,,23
2015,fall,Athletics,VAR PE,43W,BENDIETSON A,27,,,,,,,,,,,27
2015,fall,Athletics,VAR PE,50V,ESKRIDGE B M,13,,,,,,,,,,,13
2015,fall,Athletics,VAR PE,50W,BULLOCK J A,3,4,1,,,,,,,,,8
2015,fall,Athletics,VAR PE,57W,RYAN N A,12,,,,,,,,,,,12
2015,fall,Athletics,VAR PE,60,SILVA L,,,,,,,,,,1,,1
2015,fall,Athletics,VAR PE,60,SILVA L,20,8,4,,1,,,,,4,,37
2015,fall,Athletics,VAR PE,60,GARCIA S M,10,1,1,,,,,,,1,,13
2015,fall,Athletics,VAR PE,60,HANK M E,8,1,,,1,,,,,2,,12
2015,fall,Athletics,VAR PE,60,LENNON G T,5,1,,,,,,,,3,,9
2015,fall,Athletics,VAR PE,60,HANK M E,,,1,,,,,,,1,,2
2015,fall,Athletics,VAR PE,60,METICHECCHIA J H,1,,,,,,,,,2,,3
